fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.51,0.863,0.407,5.91,0.026,8.7,75.8,0.99208,3.245,0.401,9.86,5
6.32,0.721,0.326,1.2,0.0561,1.9,86.6,0.99717,3.213,0.337,8.48,3
8.97,0.448,0.078,1.2,0.051,18.3,6.0,0.99678,3.07,0.887,11.0,4
7.27,0.757,0.106,1.7,0.0826,11.5,107.8,0.99617,3.353,0.522,9.59,5
7.81,0.54,0.515,1.2,0.0806,22.4,82.6,0.99569,3.296,0.376,9.86,5
7.27,0.681,0.423,1.2,0.1233,14.7,62.6,0.99683,3.623,0.36,9.27,5
11.54,0.615,0.263,7.2,0.0886,1.0,42.3,0.99872,3.26,0.964,10.17,5
8.3,0.377,0.19,9.38,0.1012,1.0,6.0,0.99352,3.191,0.807,12.66,6
6.48,0.413,0.0,1.2,0.1057,15.8,35.6,0.99517,3.177,0.523,10.8,7
9.75,0.712,0.062,6.42,0.0985,7.8,61.2,0.9947,3.241,0.53,9.73,4
6.2,0.468,0.644,1.97,0.1201,10.3,10.1,0.99462,3.402,0.667,9.93,5
8.68,0.456,0.021,1.2,0.0813,25.7,44.2,0.99735,3.42,0.804,8.88,4
4.91,0.357,0.308,3.03,0.1644,23.8,7.5,0.99782,3.762,0.608,9.21,7
6.01,0.604,0.467,2.69,0.2065,34.7,33.8,0.99872,3.125,0.524,9.04,4
8.66,0.897,0.026,11.3,0.1202,12.6,6.0,0.99785,3.324,0.851,10.71,6
9.6,0.337,0.307,1.2,0.0977,9.2,6.0,0.998,3.206,0.654,10.9,3
8.62,0.532,0.454,2.79,0.1164,20.2,57.7,0.99402,3.365,0.625,10.5,5
8.12,0.781,0.273,1.2,0.0353,10.0,27.4,0.99952,3.524,0.759,10.82,5
7.8,0.514,0.83,1.2,0.0955,10.3,30.5,0.9963,3.444,0.33,9.6,6
5.75,0.609,0.0,1.2,0.0526,13.8,25.6,0.99866,3.125,0.739,9.19,5
7.07,0.338,0.477,15.5,0.111,33.2,136.1,0.99409,3.416,0.728,9.18,5
7.52,0.605,0.237,4.05,0.0529,23.2,66.5,0.99624,2.986,0.424,9.14,6
10.16,0.495,0.422,3.86,0.0708,24.3,70.0,0.99849,2.944,0.33,10.8,6
8.92,0.704,0.357,1.78,0.012,32.7,21.0,0.99675,3.273,0.562,12.57,7
5.25,0.741,0.128,1.2,0.0319,25.3,63.1,0.99527,3.405,0.689,9.3,5
8.88,0.992,0.316,1.2,0.1037,4.0,39.0,0.99919,3.365,0.706,10.05,4
7.65,0.632,0.0,1.2,0.0462,25.2,20.7,0.99447,3.604,0.948,10.64,6
7.14,0.586,0.389,1.2,0.137,26.5,109.9,0.99666,3.328,0.689,10.12,4
9.38,0.563,0.329,3.53,0.0422,22.7,65.3,0.99792,3.295,0.42,10.78,5
10.11,0.465,0.396,1.94,0.1083,13.8,63.7,1.00068,3.489,0.615,9.8,5
9.94,0.589,0.477,1.2,0.0512,21.6,14.5,0.99583,3.253,0.437,9.69,5
6.86,0.475,0.343,1.2,0.1051,15.7,6.0,0.99617,3.371,0.628,10.22,7
7.78,0.558,0.3,1.2,0.0149,5.6,44.6,0.99586,3.38,0.898,10.77,6
8.9,0.764,0.099,1.32,0.0657,8.2,27.6,0.99715,3.161,0.736,11.79,5
10.02,0.348,0.132,6.76,0.0472,23.2,66.6,0.99782,3.371,0.535,10.82,5
7.49,0.732,0.502,2.54,0.1285,6.4,68.8,0.99878,3.647,0.759,10.15,5
8.0,0.764,0.551,4.05,0.1087,7.4,48.6,0.99814,3.486,0.526,11.31,6
6.39,0.507,0.225,1.57,0.0291,23.8,73.7,0.99575,3.182,0.33,11.49,5
6.24,0.148,0.28,1.2,0.0775,17.3,52.8,0.99825,3.671,0.448,10.1,6
9.73,0.419,0.095,1.2,0.0507,21.9,17.8,0.99687,3.417,0.736,10.26,6
10.68,0.76,0.5,5.22,0.1317,3.0,39.9,0.99812,3.376,0.789,9.96,5
8.19,0.524,0.401,3.82,0.1468,21.6,50.9,0.99822,3.296,0.95,11.3,6
10.07,0.349,0.65,1.2,0.0192,9.0,77.0,0.9998,3.416,0.716,10.5,6
8.95,0.438,0.1,1.79,0.1259,5.2,53.9,0.99603,3.328,0.887,8.92,5
7.2,0.678,0.197,1.67,0.0483,10.6,27.7,0.99566,3.314,0.765,10.85,5
8.95,0.626,0.316,2.45,0.0751,30.1,78.3,0.99755,3.291,0.817,12.01,6
11.0,0.485,0.397,7.31,0.0885,12.1,59.0,0.99895,3.461,0.845,12.1,6
8.26,0.462,0.229,2.17,0.1724,38.9,97.3,0.99681,3.444,0.741,9.91,6
11.04,0.458,0.101,1.94,0.0398,1.0,49.3,0.99907,3.288,0.841,9.67,5
4.6,0.363,0.443,1.2,0.1262,1.0,12.3,0.99801,3.077,0.539,12.45,6
9.75,0.817,0.412,1.2,0.0319,29.7,85.2,0.99632,3.317,0.33,12.1,4
8.47,0.47,0.092,1.2,0.0287,32.4,27.5,0.99777,3.2,0.769,10.92,4
7.8,0.746,0.535,1.2,0.0883,6.8,56.2,0.99587,3.238,0.722,8.59,4
8.48,0.8,0.499,3.4,0.088,16.6,52.6,0.99715,3.292,0.509,9.77,4
4.86,0.707,0.297,3.21,0.012,23.3,48.0,0.99466,3.148,0.443,9.25,4
7.94,0.451,0.287,1.2,0.1415,13.5,40.9,0.99657,3.063,0.68,12.36,6
8.94,0.6,0.379,4.52,0.012,17.4,6.0,0.9986,3.356,0.78,8.79,4
10.89,0.524,0.103,1.2,0.0801,16.0,13.5,0.99816,3.315,0.746,12.35,6
7.42,0.366,0.277,1.2,0.1494,1.0,83.4,0.99788,3.309,0.485,10.31,6
6.91,0.586,0.0,1.2,0.1908,12.3,60.6,0.99725,3.39,0.523,9.14,4
7.45,0.317,0.442,1.2,0.0699,16.0,109.3,0.997,3.209,0.772,11.48,5
9.91,0.741,0.0,1.2,0.0197,16.9,12.3,0.99429,3.362,0.67,11.09,4
8.89,0.445,0.564,1.68,0.1477,1.0,45.5,0.99631,3.517,0.838,9.07,4
7.4,0.564,0.207,1.31,0.1277,23.8,84.7,0.99705,3.272,0.603,10.39,6
9.21,0.579,0.23,10.78,0.064,17.2,27.9,0.99456,3.604,0.784,11.89,6
8.49,0.482,0.149,1.2,0.0581,4.8,30.5,0.99337,3.319,0.651,9.98,7
10.01,0.633,0.215,1.2,0.0533,34.7,36.8,0.99884,3.18,0.535,12.22,5
7.1,0.443,0.548,1.2,0.0708,12.2,31.8,0.9968,3.442,0.816,9.62,7
7.75,0.684,0.0,2.46,0.1019,12.9,64.0,0.9971,3.294,0.489,8.68,4
7.64,0.287,0.52,1.2,0.0604,22.6,6.0,0.99776,3.473,0.671,10.47,5
5.77,0.551,0.337,4.53,0.0663,35.6,100.5,0.99483,3.375,0.688,8.86,7
8.84,0.875,0.036,1.79,0.1171,23.0,14.9,0.99593,3.261,0.638,10.55,4
8.77,0.349,0.061,1.87,0.0173,24.5,6.0,0.99956,3.545,0.826,10.43,7
8.33,0.407,0.598,2.06,0.0693,5.4,46.1,0.99577,3.234,0.755,9.61,5
7.91,0.62,0.087,1.2,0.012,16.8,34.1,0.99619,2.977,0.735,12.43,5
5.86,0.56,0.046,1.2,0.0921,10.3,40.6,0.99543,3.447,0.67,10.42,4
7.59,0.591,0.493,1.2,0.012,23.2,56.8,0.99529,3.365,0.974,11.34,6
7.72,0.616,0.337,2.25,0.1288,24.2,67.7,0.9988,3.509,0.907,11.41,4
6.92,0.642,0.088,1.2,0.0252,33.0,102.0,0.99199,3.175,0.814,12.3,5
8.04,0.727,0.313,1.2,0.012,1.0,23.8,0.99583,3.273,0.786,9.13,3
9.02,0.601,0.071,8.78,0.0699,9.3,71.9,0.99713,3.256,0.556,8.54,5
11.6,0.485,0.486,1.2,0.1674,29.5,69.8,0.99992,3.455,0.65,12.26,4
8.62,0.648,0.478,4.06,0.1204,1.2,6.0,0.99454,3.411,0.766,11.04,5
8.77,0.868,0.375,3.88,0.012,24.3,19.1,0.99422,3.344,0.837,10.56,4
8.19,0.504,0.342,1.2,0.0239,27.7,6.0,0.99507,3.345,0.81,10.28,7
4.98,0.354,0.614,1.2,0.0684,15.6,61.2,0.99803,3.134,0.757,10.09,4
8.27,0.726,0.271,1.2,0.1922,1.0,57.6,0.99694,3.429,0.998,11.34,5
8.42,0.506,0.041,2.99,0.0429,14.6,58.2,0.99396,3.433,0.635,8.88,5
12.61,0.139,0.359,2.57,0.0432,31.1,36.4,0.99689,3.664,0.83,10.93,7
7.99,0.68,0.678,3.82,0.1588,32.0,39.7,0.99965,3.384,0.81,11.52,4
8.84,0.432,0.073,6.93,0.0962,18.0,45.5,0.9972,3.408,0.733,11.22,4
8.26,0.512,0.201,2.94,0.1365,5.6,33.3,0.99701,3.385,0.74,10.34,6
6.29,0.587,0.352,1.2,0.0528,34.1,72.0,0.99713,3.204,0.736,10.42,5
10.31,0.562,0.26,1.2,0.0822,24.5,11.3,0.99749,3.503,0.538,11.8,5
9.63,0.655,0.079,4.62,0.1488,6.3,20.7,0.99429,3.302,0.726,11.04,6
9.7,0.45,0.49,1.2,0.0802,19.5,50.5,0.99626,3.281,0.785,12.3,5
6.74,0.62,0.723,1.2,0.1398,19.0,34.4,0.99636,3.29,0.713,8.56,4
10.76,0.482,0.309,3.04,0.1052,9.2,10.0,0.99578,3.301,0.345,11.39,4
5.88,0.66,0.095,1.29,0.0381,19.5,64.0,0.998,3.236,0.388,9.55,4
9.34,0.638,0.0,6.32,0.0862,27.4,27.6,0.9955,3.344,0.519,10.34,4
12.13,0.361,0.321,2.63,0.1331,12.8,18.7,0.99602,3.296,0.639,11.89,6
6.6,0.722,0.486,1.2,0.1185,28.5,40.7,0.99431,3.283,0.528,9.35,6
7.33,0.432,0.364,7.38,0.0851,1.0,17.1,0.99742,3.386,0.768,12.68,5
8.49,0.673,0.271,1.2,0.012,39.1,45.3,0.99849,3.323,0.861,11.6,5
7.44,0.594,0.156,1.2,0.012,16.5,34.6,0.99601,3.226,0.885,11.04,5
5.62,0.857,0.058,1.29,0.0126,27.1,29.6,0.99823,3.193,0.715,9.42,5
8.44,0.488,0.434,1.2,0.063,18.2,29.8,0.99642,3.326,0.842,10.23,6
6.47,0.465,0.449,1.72,0.0693,7.3,79.2,0.9919,3.196,0.562,10.04,5
9.14,0.525,0.0,1.2,0.0177,15.5,58.6,0.9966,3.185,0.632,9.1,4
6.72,0.474,0.581,1.28,0.1351,1.0,6.0,0.99637,3.187,0.46,11.59,6
11.02,0.671,0.383,1.2,0.0276,23.1,75.5,0.9969,3.35,0.863,9.99,4
6.96,0.239,0.544,3.71,0.0226,17.9,63.5,0.99718,3.495,0.992,10.23,4
7.76,0.339,0.009,4.06,0.0911,13.9,61.5,0.9954,3.365,0.599,10.29,7
9.74,0.337,0.005,1.2,0.1328,23.7,75.7,0.9995,3.448,0.33,10.19,4
6.18,0.698,0.242,1.2,0.1836,16.3,47.0,0.99657,3.3,0.496,10.99,4
8.72,0.834,0.369,1.2,0.1144,22.2,66.9,0.99632,3.333,0.547,9.75,5
10.59,0.509,0.621,1.2,0.1613,25.9,31.2,0.99811,3.566,0.433,11.51,6
5.52,0.498,0.409,4.0,0.03,10.1,74.4,0.99674,3.439,0.483,9.78,6
8.64,0.541,0.224,3.07,0.1885,7.1,53.6,1.00158,3.455,0.693,10.39,6
8.77,0.736,0.071,1.2,0.012,1.0,6.0,0.9963,3.27,0.77,9.02,4
9.68,0.362,0.511,1.2,0.0633,17.2,80.6,0.99737,3.31,0.33,11.57,7
6.17,0.571,0.083,1.2,0.1134,20.6,42.2,0.99528,3.373,0.568,11.84,6
6.02,0.703,0.589,2.47,0.012,2.0,37.6,0.99835,3.218,0.664,11.19,6
9.23,0.618,0.216,1.2,0.0434,30.7,31.9,0.99729,2.947,0.477,10.6,5
8.84,0.562,0.581,10.66,0.036,7.3,34.3,0.99606,3.372,0.698,10.38,4
8.76,0.707,0.403,3.79,0.0724,1.0,54.0,0.99504,3.459,0.638,8.75,4
8.92,0.12,0.244,1.24,0.1538,31.5,14.0,0.99421,3.32,0.582,8.97,4
7.14,0.649,0.17,2.16,0.0878,1.0,6.0,0.9975,3.219,0.511,11.22,4
8.72,0.411,0.205,6.06,0.0652,26.0,11.4,0.99406,3.26,0.704,10.23,5
8.83,0.2,0.355,2.02,0.012,23.4,59.0,0.99919,2.999,0.528,8.97,6
7.08,0.62,0.286,1.2,0.1089,19.2,41.1,0.9943,3.26,0.363,8.92,5
11.57,0.774,0.155,1.2,0.1241,10.4,83.1,0.99636,3.139,0.662,11.1,5
9.14,0.503,0.239,4.63,0.012,21.1,44.3,0.99503,3.203,0.447,11.36,5
6.25,0.699,0.286,2.58,0.0839,26.8,74.2,0.99676,3.131,0.378,8.78,5
9.46,0.817,0.0,2.63,0.0961,5.6,23.7,0.99675,3.114,0.68,10.58,5
6.62,0.763,0.36,5.04,0.1323,26.1,32.2,0.99755,3.156,0.63,10.84,6
9.69,0.822,0.08,5.61,0.0529,25.6,46.8,0.9938,3.408,0.511,9.8,5
10.34,0.661,0.046,6.31,0.0459,18.9,41.6,0.99525,3.232,0.697,11.75,5
6.89,0.542,0.0,1.2,0.0655,10.2,38.6,0.99854,3.14,0.73,10.05,4
10.0,0.241,0.0,1.96,0.1474,25.7,17.8,0.99795,3.427,0.699,8.58,5
9.04,0.484,0.007,3.37,0.1361,21.2,6.0,0.99195,3.331,0.693,10.21,5
9.75,0.377,0.133,3.54,0.086,5.2,67.2,0.99742,2.947,0.385,11.88,5
11.62,0.917,0.652,2.33,0.1349,12.0,63.6,0.99474,3.464,0.878,10.05,4
7.89,0.497,0.168,1.2,0.012,24.4,26.3,0.99558,3.322,0.753,9.3,5
7.01,0.55,0.306,3.99,0.1242,17.1,58.9,0.99627,3.43,0.496,11.09,5
6.77,0.627,0.349,3.18,0.0344,27.2,41.0,0.99966,3.276,0.656,10.7,5
6.9,0.536,0.297,1.2,0.1701,12.3,82.9,0.99472,3.558,0.688,10.42,5
8.19,0.831,0.256,1.56,0.037,5.4,6.0,0.99403,3.252,0.651,10.93,6
8.91,0.417,0.038,1.2,0.0469,38.8,42.3,0.99756,2.905,0.963,9.68,6
8.8,0.563,0.554,1.2,0.1134,1.0,39.7,0.99665,3.174,0.33,9.78,4
9.76,0.395,0.623,1.2,0.118,10.6,51.8,0.99899,3.388,0.407,11.2,6
8.34,0.292,0.0,1.28,0.066,18.8,97.0,0.99603,3.335,0.33,9.39,7
10.85,0.418,0.071,2.0,0.1045,26.2,42.4,0.999,3.292,0.672,12.15,6
7.86,0.521,0.216,2.42,0.1103,22.6,70.9,0.99673,3.159,0.75,11.74,5
13.05,0.451,0.083,2.72,0.1055,40.0,41.6,0.99771,3.314,0.719,9.2,6
9.41,0.404,0.37,4.52,0.068,14.6,81.7,0.99979,3.309,0.609,12.0,8
6.83,0.276,0.129,1.2,0.1107,6.7,71.2,0.99638,3.307,0.727,10.58,6
6.46,0.513,0.693,1.2,0.1531,13.6,35.5,0.99868,3.394,0.608,11.9,4
9.16,0.259,0.503,4.77,0.0294,12.5,33.1,0.99553,3.339,0.784,10.56,7
7.93,0.664,0.312,1.2,0.0475,15.2,62.5,0.99713,3.272,0.846,10.23,6
9.56,0.543,0.471,9.2,0.0883,5.6,24.9,0.99396,3.157,0.5,10.12,3
9.14,0.267,0.487,4.62,0.0374,24.1,52.7,0.99574,3.52,0.609,8.4,6
8.19,0.473,0.161,1.74,0.012,19.7,34.8,0.99469,3.616,0.637,11.41,6
6.85,0.393,0.112,9.96,0.1384,2.6,58.6,0.99902,3.58,0.9,9.66,6
5.68,0.585,0.286,1.2,0.012,26.0,41.2,1.0,3.419,0.52,11.45,5
7.54,0.768,0.439,1.2,0.0681,7.4,23.7,0.99603,3.053,0.845,12.21,6
9.81,0.192,0.298,2.54,0.1227,3.5,82.8,0.99523,3.034,0.409,9.8,5
8.69,0.549,0.0,1.2,0.0995,16.8,54.4,0.9942,3.227,0.869,9.74,6
6.15,0.499,0.114,6.59,0.0688,1.0,44.7,0.9972,3.303,0.803,11.5,6
8.62,0.648,0.257,1.2,0.0354,22.0,60.3,0.99556,3.296,0.632,9.92,4
8.99,0.566,0.256,1.99,0.1032,1.0,6.0,0.99566,3.341,0.814,11.83,5
6.78,0.393,0.656,2.23,0.0405,5.1,115.2,0.9998,3.097,0.573,9.68,5
8.59,0.471,0.001,2.64,0.0995,32.3,47.3,0.99614,3.559,0.501,11.96,6
8.42,0.386,0.37,1.2,0.0936,8.7,6.0,0.99781,3.543,0.948,10.09,6
6.33,0.721,0.561,1.2,0.0941,10.5,85.9,0.9968,3.109,0.566,10.77,4
8.94,0.532,0.714,4.64,0.0569,29.2,21.7,0.99413,3.024,0.773,11.47,5
9.3,0.868,0.192,1.2,0.1826,7.6,80.8,0.99319,3.297,0.847,10.97,5
10.2,0.517,0.367,4.38,0.1038,23.9,50.5,0.99763,3.505,0.795,11.57,5
10.15,0.401,0.382,2.07,0.0739,28.2,6.0,0.99994,3.306,0.76,8.86,6
5.92,0.257,0.309,3.59,0.0994,20.9,55.1,0.9973,3.351,0.774,9.98,6
6.69,0.205,0.252,3.13,0.0506,1.0,52.6,0.99789,3.243,0.838,10.49,7
9.22,0.244,0.356,1.2,0.0688,9.6,84.4,0.99498,3.334,0.712,9.6,5
9.21,0.576,0.0,2.1,0.1994,44.3,63.6,0.99863,3.456,0.651,11.46,6
9.22,0.619,0.404,5.06,0.0509,10.7,6.0,0.9986,3.374,0.425,9.87,6
15.02,0.245,0.296,1.41,0.0833,47.1,79.4,0.99538,3.4,0.712,9.6,5
9.31,0.688,0.228,8.5,0.0656,33.7,32.8,0.99774,3.055,0.833,11.43,5
10.3,0.442,0.67,1.5,0.0381,21.3,103.1,0.99334,3.64,0.471,9.3,7
9.98,0.554,0.139,1.2,0.1068,19.0,34.8,0.99808,3.057,0.619,9.35,4
9.45,0.817,0.192,1.23,0.0887,11.0,39.5,0.99561,3.335,0.73,10.96,5
7.77,0.689,0.659,7.58,0.1298,14.9,19.4,0.99437,3.288,0.915,11.86,6
9.64,0.48,0.109,1.2,0.1251,8.7,30.1,0.99747,3.295,0.461,10.59,5
6.98,0.368,0.164,5.06,0.1293,15.2,21.4,0.99333,3.445,0.793,8.69,6
7.91,0.143,0.242,5.33,0.0438,1.6,85.2,0.99735,3.202,0.597,11.15,5
7.48,0.399,0.435,1.2,0.1171,1.1,6.0,0.99455,3.244,0.543,9.79,7
8.46,0.49,0.312,1.2,0.1183,29.5,72.9,0.99414,3.134,0.502,11.62,5
12.35,0.351,0.019,3.22,0.039,1.0,73.7,0.99681,3.484,0.547,10.01,5
5.07,0.505,0.167,1.2,0.072,25.1,91.8,0.99637,3.352,0.743,11.64,4
9.51,0.542,0.153,3.82,0.0186,1.0,47.9,0.99947,3.409,0.619,9.97,6
5.51,0.488,0.256,1.46,0.1185,22.5,12.7,0.99426,3.436,0.779,9.68,7
7.5,0.412,0.354,1.66,0.1183,13.7,40.8,0.99931,3.618,0.467,8.4,6
10.21,0.558,0.353,3.76,0.1542,29.7,66.0,0.99454,3.591,0.776,9.71,6
8.43,0.607,0.0,1.2,0.0762,12.4,49.3,0.99845,3.361,0.732,10.61,5
6.44,0.333,0.478,1.46,0.1082,1.0,58.5,0.9988,3.335,0.402,10.53,5
7.08,0.781,0.32,1.2,0.1334,13.9,91.4,0.99731,3.229,0.914,11.07,5
9.5,0.51,0.541,1.2,0.0516,17.5,65.6,0.9952,3.426,0.716,11.75,5
7.05,0.531,0.358,1.87,0.0444,14.5,53.0,0.99381,3.42,0.788,10.45,5
8.7,0.655,0.486,4.14,0.053,21.9,6.0,0.99299,3.199,0.855,10.49,6
8.4,0.57,0.362,1.2,0.0706,10.0,20.7,1.00022,3.422,0.823,11.61,5
7.19,0.699,0.534,1.86,0.0461,2.7,33.2,0.99614,3.466,0.637,10.67,3
12.05,0.579,0.373,2.78,0.055,5.4,6.0,0.9946,3.138,0.781,9.43,4
9.42,0.418,0.252,1.2,0.1284,10.5,10.0,0.99453,3.34,0.35,9.86,6
4.8,0.593,0.714,1.2,0.0825,10.4,37.6,0.99702,3.301,0.725,8.4,3
8.64,0.323,0.444,6.77,0.1014,41.0,43.0,0.99595,3.31,0.953,9.42,5
7.17,0.547,0.383,3.21,0.0611,29.0,63.1,0.99305,3.164,0.54,8.61,4
9.8,0.522,0.022,2.15,0.058,23.1,39.7,0.99834,3.03,0.814,10.8,6
6.94,0.491,0.02,2.61,0.1004,20.5,54.6,0.99734,3.195,0.959,11.72,6
8.12,0.505,0.328,1.2,0.0929,19.0,32.7,1.0002,3.173,0.775,9.41,5
9.2,0.191,0.299,2.41,0.1236,19.1,47.9,0.99887,3.365,0.832,9.45,5
9.83,0.43,0.151,1.78,0.1482,17.6,61.3,0.99081,3.368,0.391,11.43,4
6.23,0.545,0.298,1.97,0.0545,16.3,94.9,0.99939,3.359,0.499,9.94,6
7.74,0.557,0.581,1.2,0.1275,1.0,29.5,0.99899,3.096,0.901,10.69,4
7.49,0.344,0.407,1.2,0.0362,12.0,51.2,0.9953,3.139,0.821,11.22,7
7.18,0.755,0.049,1.2,0.1845,13.4,75.1,0.99588,3.216,0.742,9.66,5
11.39,0.373,0.249,7.53,0.05,8.0,6.0,0.99748,3.315,0.613,9.68,7
9.02,0.702,0.114,1.31,0.1195,10.1,112.2,0.99477,3.259,0.706,9.88,4
6.13,0.604,0.195,1.57,0.0359,19.0,85.3,0.99624,3.359,0.953,8.76,5
9.92,0.412,0.19,1.2,0.0799,23.9,6.0,0.9986,3.461,0.641,10.94,6
12.01,0.846,0.178,1.2,0.1596,19.0,58.7,0.99768,3.157,0.777,11.06,5
10.12,0.314,0.026,3.16,0.0486,23.6,27.9,0.99543,3.163,0.772,10.51,6
5.68,0.693,0.246,1.93,0.1906,23.8,33.4,0.99864,3.332,0.545,11.87,5
7.48,0.707,0.162,1.78,0.0868,12.7,58.0,0.99728,3.298,0.558,10.14,4
10.52,0.408,0.0,1.2,0.1329,21.4,81.0,0.99721,3.425,0.918,11.08,5
7.09,0.777,0.671,3.41,0.1059,1.0,31.1,0.99572,3.312,0.755,10.94,6
9.09,0.483,0.483,1.2,0.1085,11.8,31.6,0.99669,3.579,0.542,9.56,4
9.67,0.58,0.198,1.2,0.02,10.6,58.7,0.99523,3.066,0.605,11.66,5
6.71,0.575,0.275,1.54,0.0648,31.9,65.3,0.99301,3.44,0.49,10.56,5
8.22,0.504,0.043,1.2,0.1432,19.4,13.3,0.99617,3.342,0.839,11.46,5
4.6,0.673,0.602,1.2,0.0708,1.9,103.2,0.99647,3.095,0.615,9.03,3
6.54,0.67,0.641,2.59,0.0935,22.1,25.3,0.99696,2.993,0.617,10.54,6
7.88,0.215,0.302,2.63,0.0143,25.4,78.2,0.999,3.138,0.801,9.93,6
6.15,0.761,0.471,4.35,0.0617,14.9,61.3,0.99546,3.497,0.372,9.51,3
11.16,0.23,0.305,1.35,0.1398,23.1,66.4,0.996,3.48,0.652,11.93,7
5.83,0.713,0.01,1.2,0.0267,1.0,25.9,0.99816,3.291,0.656,10.63,5
7.55,0.73,0.191,1.2,0.1207,1.0,6.0,0.99527,3.255,0.609,8.84,4
8.55,0.333,0.297,9.78,0.0954,3.5,45.8,0.99699,3.179,0.565,9.89,6
10.83,0.454,0.182,2.27,0.0759,17.4,45.9,0.99592,3.282,0.537,11.42,5
5.82,0.33,0.228,3.09,0.0738,31.9,15.0,0.99624,3.238,0.706,9.51,5
10.34,0.49,0.253,1.2,0.0639,4.1,76.7,0.99814,3.574,0.486,9.4,4
8.34,0.473,0.255,1.83,0.0681,6.9,44.8,0.99599,3.121,0.685,10.26,4
6.61,0.668,0.281,1.2,0.1307,16.8,19.9,0.9982,3.371,0.564,10.92,6
9.12,0.763,0.064,2.11,0.0667,10.7,65.7,0.99299,3.582,0.575,9.64,3
8.67,0.778,0.131,6.34,0.172,10.1,66.6,0.99398,3.43,0.691,10.84,4
7.28,0.427,0.021,8.64,0.1011,11.5,22.9,0.9923,3.138,0.573,10.46,5
8.44,0.491,0.462,1.94,0.0599,29.6,87.0,0.99449,3.073,0.873,10.59,7
7.65,0.227,0.0,1.53,0.1327,27.5,120.3,1.00023,3.353,0.634,8.4,5
8.52,0.384,0.496,7.25,0.1163,16.1,10.6,0.99667,3.334,0.836,10.44,6
9.47,0.701,0.541,2.8,0.012,33.2,40.4,0.99533,3.501,0.528,10.15,5
11.08,0.817,0.212,1.2,0.0384,21.2,57.6,0.99819,3.395,0.525,10.84,6
6.17,0.307,0.0,1.57,0.0816,27.9,121.5,0.99846,3.236,0.375,9.72,7
12.03,0.422,0.201,1.2,0.0126,6.9,22.3,0.99438,3.226,0.574,10.02,5
4.92,0.523,0.258,1.59,0.1853,9.0,15.6,1.00145,3.11,0.618,10.99,5
8.06,0.578,0.074,1.52,0.1256,8.9,15.3,0.99723,3.331,0.671,11.97,5
9.34,0.383,0.171,2.18,0.0864,15.0,86.7,0.99746,3.095,0.777,9.0,5
8.81,0.604,0.569,1.2,0.0709,16.5,23.2,0.99764,3.451,0.764,10.97,6
